id,question,language,question_type,should_answer,answer,expected_answer_summary,expected_pages,expected_document,answer_keyword_score,semantic_answer_score,semantic_answer_pass,source_page_accuracy,citation_verified_rate,citations_all_verified,required_keywords,required_keywords_pass,unsupported_handled,latency_seconds,insufficient_data,passed
ar-004,ما هو Modular RAG؟,arabic,factual,True,Modular RAG هو إطار مُدمج يُضاف إلى أجزاء خاصة لتحسين القدرات الاستخبارية والتعامل مع البيانات.,Modular RAG يتبنى بنية معيارية بمكونات قابلة للتدريب ومرنة تتيح التخصيص حسب المهمة وإعادة تركيب الأنماط,"[2, 3, 4]",2312.10997v5.pdf,0.125,0.7443,True,True,,,['Modular RAG'],True,,8.91,False,True
ar-005,ما التحديات التي تواجه RAG؟,arabic,factual,True,"تتواجد تحديات عدة في مجال RAG، وتشملها:

- تحديات في تحليل وتصنيف المحتوى، مثل تحسين كفاءة البحث والتحقق من دقة التوصيف [3].
- تحديات في حماية البيانات والموارد، مثل الحد من الإرهاق أو الاكتشاف غير المطلوب [3].
- تحديات في تلبية احتياجات التطبيق المستخدمة، مثل تحسين كفاءة البحث في bases الكبيرة [3].

كما يُشير البحث إلى أن RAG يتعرض لتحديات أخرى، مثل تحديات في تحليل وتصنيف المحتوى، وتحديات في حماية البيانات والموارد.",تواجه RAG تحديات مثل المحتوى المفقود وعدم التحديد المناسب وعدم الدمج والهلوسة وعدم تطابق الصلة,"[15, 16, 17]",2312.10997v5.pdf,0.2308,0.732,True,True,,,"['تحديات', 'RAG']",True,,23.34,False,True
mixed-001,Explain Modular RAG بالعربي.,mixed,factual,True,"المॉडولر RAG: ﻣُدَلفramework مُتَصَدِق في تطبيقات retrieval و processing capabilities. يُشكّل هذا framework مُستقلًا عن Advanced و Naive RAG، و يُظهر تقدمًا و تعديلات على أساسيات RAG.

( ﺣﺮﻓﺎ ﻭﺗﻜﺘﺐ ﻣﻦ ﺍﻟﻴﻤﻴﻦ ﺇﻟﻰ ﺍﻟﻴﺴﺎﺭ. ﻣﻦ ﺃﺑﺮﺯ ﺍﻟﺘﺤﺪﻳﺎﺕ28 ﻭﺍﻟﻨﺤﻮﻳﺔ ﺍﻟﻤﻌﻘﺪﺓ. ﺍﻟﻠﻐﺔ ﺍﻟﻌﺮﺑﻴﺔ ﻫﻲ ﻟﻐﺔ ﺳﺎﻣﻴﺔ ﺗﺘﻜﻮﻥ ﻣﻦ
( ﺗﺤﺪﻳﺎ ﻓﺮﻳﺪﺍ ﻓﻲ ﻣﺠﺎﻝ ﻣﻌﺎﻟﺠﺔ ﺍﻟﻠﻐﺎﺕ ﺍﻟﻄﺒﻴﻌﻴﺔ ﻧﻈﺮﺍ ﻟﺨﺼﺎﺋﺼﻬﺎ ﺍﻟﺼﺮﻓﻴﺔArabic NLP) ﺗﻤﺜﻞ ﻣﻌﺎﻟﺠﺔ ﺍﻟﻠﻐﺔ ﺍﻟﻌﺮﺑﻴﺔ
.(: ﺍﻟﺤﺮﻛﺎﺕ ﺍﻟﻘﺼﻴﺮﺓ ﺗﺆﺛﺮ ﻋﻠﻰ ﻣﻌﻨﻰ ﺍﻟﻜﻠﻤﺔDiacritization) • ﺍﻟﺘﺸﻜﻴﻞ
.(: ﺗﻨﻮﻉ ﻛﺒﻴﺮ ﻓﻲ ﺃﺷﻜﺎﻝ ﺍﻟﻜﻠ.",Modular RAG is a modular architecture with flexible components that can be customized per task,"[2, 3, 4]",2312.10997v5.pdf,0.0,0.4562,False,True,,,['Modular RAG'],False,,67.8,False,False
mixed-002,What is the difference between Naive RAG and Advanced RAG اشرح بالعربية؟,mixed,comparison,True,"Advanced RAG proposes multiple optimization strategies around pre-retrieval and post-retrieval, whereas Naive RAG mainly consists of three parts: indexing, retrieval, and generation.",Naive RAG is the basic pipeline while Advanced RAG adds pre-retrieval and post-retrieval improvements,"[2, 3]",2312.10997v5.pdf,0.3846,0.8274,True,True,,,"['Naive RAG', 'Advanced RAG']",True,,10.03,False,True
mixed-003,ما هي التحديات التي facing RAG؟,mixed,factual,True,التحديات التي واجهت RAG تشمل تحسين كفاءة الحصول، وتعزيز recall في قواعد الكnowledge الكبيرة، وتأمين أمان البيانات، مثل منع الإشارة غير المطلوبة لแหลصوص الملفات أو البيانات المتعلقة بها [3].,"RAG faces challenges including missing content, not selected, not merged, hallucination and relevance issues","[15, 16, 17]",2312.10997v5.pdf,0.0769,0.6353,False,True,,,"['RAG', 'challenges']",True,,12.58,False,False
mixed-004,ما المقصود بـ Retrieval-Augmented Generation?,mixed,factual,True,"Retrieval-Augmented Generation (RAG) refers to a method that combines retrieval and generation processes to generate more accurate and relevant text outputs [1, 2]. It involves using external knowledge sources to enhance the capabilities of Large Language Models (LLMs), allowing them to actively determine the optimal moments and content for retrieval, thus enhancing efficiency and relevance [1].

RAG includes three types of retrieval augmentation processes:
• Iterative retrieval: Alternating between retrieval and generation to obtain richer and more targeted context from the knowledge base at each step.
• Recursive retrieval: Gradually refining the user query and breaking down the problem into sub-problems, then continuously solving complex problems through retrieval and generation.
• Adaptive retrieval: Enabling the RAG system to autonomously determine whether external knowledge retrieval is necessary and when to stop retrieval and generation, often utilizing LLM-generated special tokens for control [2].

The approach has been shown to enhance the robustness of subsequent answer generation by offering additional contextual references through multiple retrieval iterations [1].",Retrieval-Augmented Generation is a framework that combines retrieval from external knowledge sources with text generation by LLMs,[1],2312.10997v5.pdf,0.8125,0.6685,False,False,,,"['Retrieval-Augmented Generation', 'retrieval', 'generation']",True,,27.82,False,False
unsupported-001,What is the capital of Japan?,english,unsupported,False,Insufficient data to verify from the uploaded documents.,Insufficient data to verify from the uploaded documents.,[],,1.0,1.0,True,,,,,,True,0.03,True,True
unsupported-002,Who won the 2022 FIFA World Cup?,english,unsupported,False,Insufficient data to verify from the uploaded documents.,Insufficient data to verify from the uploaded documents.,[],,1.0,1.0,True,,,,,,True,4.29,False,True
unsupported-003,What is the recipe for making pasta?,english,unsupported,False,Insufficient data to verify from the uploaded documents.,Insufficient data to verify from the uploaded documents.,[],,1.0,1.0,True,,,,,,True,0.03,True,True
unsupported-004,ما هي عاصمة مصر؟,arabic,unsupported,False,Insufficient data to verify from the uploaded documents.,Insufficient data to verify from the uploaded documents.,[],,1.0,1.0,True,,,,,,True,0.03,True,True
en-008,"What basic retrieval methods are discussed in the paper, such as dense retrieval, sparse/BM25 retrieval, and hybrid retrieval?",english,methodology,True,"• Dense retrieval [1]
• Sparse retrieval (BM25) [1]","The paper discusses dense retrieval, sparse retrieval (BM25), hybrid retrieval and reranking methods for RAG","[9, 10, 11]",2312.10997v5.pdf,0.2143,0.7868,True,True,,,"['dense retrieval', 'BM25', 'hybrid']",False,,5.85,False,False
ar-006,ما طرق الاسترجاع الأساسية التي يناقشها البحث، مثل الاسترجاع الكثيف و BM25 والاسترجاع الهجين؟,arabic,methodology,True,تطرح البحث عن طرق استرجاع أساسية مختلفة، مثل الاسترجاع الكثيف، BM25، و الاسترجاع الهجين. يُشير البحث إلى أن الاسترجاع الكثيف يستخدم لLM كعامل مراقب لتحسين أداء المॉडل من خلال الحصول على توزيعات вероятية للمدونات المأخوذة، بينما يستخدم BM25 طريقة استرجاع متعددة.,يناقش البحث الاسترجاع الكثيف والاسترجاع المتناثر BM25 والاسترجاع الهجين وإعادة الترتيب,"[9, 10, 11]",2312.10997v5.pdf,0.4,0.7721,True,True,,,"['BM25', 'RAG']",False,,17.32,False,False
